iso_code,en,fr,es
ABW,Aruba,Aruba,Aruba
AFG,Afghanistan,Afghanistan,Afghanistan
AGO,Angola,Angola,Angola
AIA,Anguilla,Anguilla,Anguilla
ALA,Åland Islands,Îles Åland,Åland Islands
ALB,Albania,Albanie,Albania
AND,Andorra,Andorre,Andorra
ANT,Netherlands Antilles,Antilles néerlandaises,Netherlands Antilles
ARE,United Arab Emirates,Émirats Arabes Unis,United Arab Emirates
ARG,Argentina,Argentine,Argentina
ARM,Armenia,Arménie,Armenia
ASM,American Samoa,Samoa américaines,American Samoa
ATA,Antarctica,Antarctique,Antarctica
ATF,French Southern Territories,Terres australes et antarctiques françaises,French Southern Territories
ATG,Antigua and Barbuda,Antigua-et-Barbuda,Antigua and Barbuda
AUS,Australia,Australie,Australia
AUT,Austria,Autriche,Austria
AZE,Azerbaijan,Azerbaïdjan,Azerbaijan
BDI,Burundi,Burundi,Burundi
BEL,Belgium,Belgique,Belgium
BEN,Benin,Bénin,Benin
BES,"Bonaire, Sint Eustatius and Saba","Bonaire, Saint-Eustache et Saba","Bonaire, Sint Eustatius and Saba"
BFA,Burkina Faso,Burkina Faso,Burkina Faso
BGD,Bangladesh,Bangladesh,Bangladesh
BGR,Bulgaria,Bulgarie,Bulgaria
BHR,Bahrain,Bahreïn,Bahrain
BHS,Bahamas,Bahamas,Bahamas
BIH,Bosnia and Herzegovina,Bosnie-Herzégovine,Bosnia and Herzegovina
BLM,Saint Barthélemy,Saint-Barthélemy,Saint Barthélemy
BLR,Belarus,Biélorussie,Belarus
BLZ,Belize,Belize,Belize
BMU,Bermuda,Bermudes,Bermuda
BOL,"Bolivia, Plurinational State Of",Bolivie,"Bolivia, Plurinational State Of"
BRA,Brazil,Brésil,Brazil
BRB,Barbados,Barbade,Barbados
BRN,Brunei Darussalam,Brunei Darussalam,Brunei Darussalam
BTN,Bhutan,Bhoutan,Bhutan
BVT,Bouvet Island,Île Bouvet,Bouvet Island
BWA,Botswana,Botswana,Botswana
CAF,Central African Republic,République centrafricaine,Central African Republic
CAN,Canada,Canada,Canada
CCK,Cocos (Keeling) Islands,Îles Cocos,Cocos (Keeling) Islands
CHE,Switzerland,Suisse,Switzerland
CHL,Chile,Chili,Chile
CHN,China,Chine,China
CIV,Côte d’Ivoire,Côte d’Ivoire,Côte d’Ivoire
CMR,Cameroon,Cameroun,Cameroon
COD,"Congo, The Democratic Republic of the",République démocratique du Congo,"Congo, The Democratic Republic of the"
COG,Congo,République du Congo,Congo
COK,Cook Islands,Îles Cook,Cook Islands
COL,Colombia,Colombie,Colombia
COM,Comoros,Comores,Comoros
CPV,Cape Verde,Cap-Vert,Cape Verde
CRI,Costa Rica,Costa Rica,Costa Rica
CUB,Cuba,Cuba,Cuba
CUW,Curaçao,Curaçao,Curaçao
CXR,Christmas Island,Île Christmas,Christmas Island
CYM,Cayman Islands,Iles Cayman,Cayman Islands
CYP,Cyprus,Chypre,Cyprus
CZE,Czech Republic,République tchèque,Czech Republic
DEU,Germany,Allemagne,Germany
DJI,Djibouti,Djibouti,Djibouti
DMA,Dominica,Dominique,Dominica
DNK,Denmark,Danemark,Denmark
DOM,Dominican Republic,République dominicaine,Dominican Republic
